"line_item_id","item","description","quantity","unit_price","unit_markup","job_id","created_at"
"10261731","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","0.000000","16.00000","19.00000","1449075","2020-05-28 15:38:37"
"7825631","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","260.000000","16.00000","19.00000","1218820","2020-02-20 14:04:19"
"8142883","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:27"
"8142913","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:30"
"8142958","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:32"
"8142988","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:35"
"8143018","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:37"
"8143096","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:43"
"8143126","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:46"
"8143156","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:47"
"8143191","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:50"
"8143221","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:51"
"8143239","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:52"
"8143269","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:53"
"8142842","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:23"
"8142748","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:15"
"8142805","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:21"
"8142832","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:23"
"8143039","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:39"
"8170058","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-03-04 07:27:49"
"8143049","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:39"
"8170038","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-03-04 07:27:26"
"8170068","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","1.000000","0.00000","583.33333","1244374","2020-03-04 07:28:00"
"8142761","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:18"
"8142794","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:20"
"8142863","21'' Push Mower MOWING IS NO LONGER COMPLIMENTARY ","","5.000000","16.00000","0.00000","1244374","2020-03-03 18:56:25"
